ncessch,year,school_name,Include,exclude,school_status,school_type,charter,school_level,enrollment,virtual,magnet,street_location,city_location
120144004007.00,2005,ALTERNATIVE EDUCATION CENTER-LVH,0,FALSE,open,regular school,no,other,13,,Missing/not reported,1718 E MICHIGAN AVE,ORLANDO
120174003498.00,1999,ANITA YATES EXCEPTIONAL STUDENT CENTER,0,TRUE,open,special education school,no,,44,no,Missing/not reported,420 NORTH ORANGE STREET,ST. AUGUSTINE
120174003498.00,2000,ANITA YATES EXCEPTIONAL STUDENT CENTER,0,TRUE,open,special education school,no,other,38,no,Missing/not reported,420 NORTH ORANGE STREET,ST. AUGUSTINE
120099002327.00,2005,BABIES/TAP,0,FALSE,reopened,regular school,no,primary,3,no,Missing/not reported,50 DAVID RD,MONTICELLO
120099002327.00,2006,BABIES/TAP,0,FALSE,open,regular school,no,primary,1,no,No,50 DAVID RD,MONTICELLO
120099002327.00,2007,BABIES/TAP,0,FALSE,open,regular school,no,primary,0,no,No,50 DAVID RD,MONTICELLO
120099002327.00,2008,BABIES/TAP,0,FALSE,open,regular school,no,other,0,no,No,50 DAVID RD,MONTICELLO
120099002327.00,2009,BABIES/TAP,0,FALSE,open,regular school,no,other,0,no,No,50 DAVID RD,MONTICELLO
120099002327.00,2010,BABIES/TAP,0,FALSE,open,regular school,no,other,4,no,No,50 DAVID RD,MONTICELLO
120099002327.00,2011,BABIES/TAP,0,FALSE,open,regular school,no,other,1,no,No,50 DAVID RD,MONTICELLO
120099002327.00,2012,BABIES/TAP,0,FALSE,open,regular school,no,other,0,no,No,50 DAVID RD,MONTICELLO
120099002327.00,2013,BABIES/TAP,0,FALSE,open,regular school,no,other,0,no,No,50 DAVID RD,MONTICELLO
120099002327.00,2014,BABIES/TAP,0,FALSE,open,regular school,no,other,0,no,No,50 DAVID RD,MONTICELLO
120099002327.00,2015,BABIES/TAP,0,FALSE,open,regular school,no,other,0,no,No,50 DAVID RD,MONTICELLO
120099002327.00,2016,BABIES/TAP,0,FALSE,open,regular school,no,other,0,no,No,50 DAVID RD,MONTICELLO
120099002327.00,2017,BABIES/TAP,0,FALSE,open,regular school,no,high,0,no,No,50 DAVID RD,MONTICELLO
120099002327.00,2018,BABIES/TAP,0,FALSE,closed,regular school,no,missing/not reported,0,no,,50 DAVID RD,MONTICELLO
120144001363.00,2008,BOONE HIGH,1,FALSE,open,regular school,no,high,3083,no,No,2000 SOUTH MILLS AVE,ORLANDO
120144001363.00,2009,BOONE HIGH,1,TRUE,open,other/alternative school,no,high,3052,no,No,2000 SOUTH MILLS AVE,ORLANDO
120144001363.00,2010,BOONE HIGH,1,FALSE,open,regular school,no,high,2859,no,Yes,2000 SOUTH MILLS AVE,ORLANDO
120144001363.00,2011,BOONE HIGH,1,FALSE,open,regular school,no,high,2904,no,Yes,2000 SOUTH MILLS AVE,ORLANDO
120144001363.00,2012,BOONE HIGH,1,FALSE,open,regular school,no,high,2918,no,Yes,1000 EAST KALEY ST,ORLANDO
120144001363.00,1999,BOONE HIGH SCHOOL,1,FALSE,open,regular school,no,,2855,no,Missing/not reported,2000 S MILLS AVE,ORLANDO
120144001363.00,2000,BOONE HIGH SCHOOL,1,FALSE,open,regular school,no,high,2898,no,Missing/not reported,2000 S MILLS AVE,ORLANDO
120144001363.00,2001,BOONE HIGH SCHOOL,1,FALSE,open,regular school,no,high,2970,no,Missing/not reported,Missing/not reported,ORLANDO
120144001363.00,2002,BOONE HIGH SCHOOL,1,FALSE,open,regular school,no,high,3033,no,Missing/not reported,2000 SOUTH MILLS AVENUE,ORLANDO
120144001363.00,2003,BOONE HIGH SCHOOL,1,FALSE,open,regular school,no,high,3217,no,Missing/not reported,2000 S MILLS AVENUE,ORLANDO
120144001363.00,2004,BOONE HIGH SCHOOL,1,FALSE,open,regular school,no,high,3346,no,Missing/not reported,2000 S MILLS AVENUE,ORLANDO
120144001363.00,2005,BOONE HIGH SCHOOL,1,FALSE,open,regular school,no,high,3275,no,Missing/not reported,2000 S MILLS AVE,ORLANDO
120144001363.00,2006,BOONE HIGH SCHOOL,1,FALSE,open,regular school,no,high,3193,no,No,2000 S MILLS AVE,ORLANDO
120144001363.00,2007,BOONE HIGH SCHOOL,1,FALSE,open,regular school,no,high,3099,no,No,2000 S MILLS AVE,ORLANDO
120159003259.00,1999,CHILD DEVELOPMENT CENTER,0,FALSE,open,regular school,yes,,82,no,Missing/not reported,716 E. BELLA VISTA ST,LAKELAND
120159003259.00,2000,CHILD DEVELOPMENT CENTER,0,FALSE,open,regular school,yes,primary,92,no,Missing/not reported,716 E. BELLA VISTA ST,LAKELAND
120159003259.00,2001,CHILD DEVELOPMENT CENTER,0,FALSE,open,regular school,yes,primary,84,no,Missing/not reported,Missing/not reported,LAKELAND
120159003259.00,2002,CHILD DEVELOPMENT CENTER,0,FALSE,open,regular school,yes,primary,88,no,Missing/not reported,716 E. BELLA VISTA ST,LAKELAND
120159003259.00,2003,CHILD DEVELOPMENT CENTER,0,FALSE,open,regular school,yes,primary,88,no,Missing/not reported,716 E BELLA VISTREETA STR,LAKELAND
120171002533.00,1999,CROOMS ACADEMY,0,TRUE,open,other/alternative school,no,,390,no,Missing/not reported,2200 W. 13TH STREET,SANFORD
120171002533.00,2000,CROOMS ACADEMY,0,TRUE,open,other/alternative school,no,other,187,no,Missing/not reported,2200 W. 13TH STREET,SANFORD
120171002533.00,2004,CROOMS ACADEMY OF INFORMATION TECHNOLOGY,1,FALSE,open,regular school,no,high,533,no,Missing/not reported,2200 W 13TH STREET,SANFORD
120171002533.00,2005,CROOMS ACADEMY OF INFORMATION TECHNOLOGY,1,FALSE,open,regular school,no,high,540,no,Yes,2200 W 13TH ST,SANFORD
120171002533.00,2006,CROOMS ACADEMY OF INFORMATION TECHNOLOGY,1,FALSE,open,regular school,no,high,530,no,Yes,2200 W 13TH ST,SANFORD
120171002533.00,2007,CROOMS ACADEMY OF INFORMATION TECHNOLOGY,1,FALSE,open,regular school,no,high,592,no,Yes,2200 W 13TH ST,SANFORD
120171002533.00,2008,CROOMS ACADEMY OF INFORMATION TECHNOLOGY,1,FALSE,open,regular school,no,high,605,no,Yes,2200 WEST 13TH ST,SANFORD
120171002533.00,2009,CROOMS ACADEMY OF INFORMATION TECHNOLOGY,1,FALSE,open,regular school,no,high,602,no,Yes,2200 WEST 13TH ST,SANFORD
120171002533.00,2010,CROOMS ACADEMY OF INFORMATION TECHNOLOGY,1,FALSE,open,regular school,no,high,599,no,Yes,2200 WEST 13TH ST,SANFORD
120171002533.00,2011,CROOMS ACADEMY OF INFORMATION TECHNOLOGY,1,FALSE,open,regular school,no,high,586,no,Yes,2200 WEST 13TH ST,SANFORD
120171002533.00,2012,CROOMS ACADEMY OF INFORMATION TECHNOLOGY,1,FALSE,open,regular school,no,high,603,no,Yes,2200 WEST 13TH ST,SANFORD
120171002533.00,2013,CROOMS ACADEMY OF INFORMATION TECHNOLOGY,1,FALSE,open,regular school,no,high,612,no,Yes,2200 WEST 13TH ST,SANFORD
120171002533.00,2014,CROOMS ACADEMY OF INFORMATION TECHNOLOGY,1,FALSE,open,regular school,no,high,652,no,Yes,2200 W 13TH ST,SANFORD
120171002533.00,2015,CROOMS ACADEMY OF INFORMATION TECHNOLOGY,1,FALSE,open,regular school,no,high,628,no,Yes,2200 W 13TH ST,SANFORD
120171002533.00,2016,CROOMS ACADEMY OF INFORMATION TECHNOLOGY,1,FALSE,open,regular school,no,high,651,no,Yes,2200 W 13TH ST,SANFORD
120171002533.00,2017,CROOMS ACADEMY OF INFORMATION TECHNOLOGY,1,FALSE,open,regular school,no,high,685,no,Yes,2200 W 13TH ST,SANFORD
120171002533.00,2018,CROOMS ACADEMY OF INFORMATION TECHNOLOGY,1,FALSE,open,regular school,no,high,685,no,Yes,2200 W 13TH ST,SANFORD
120171002533.00,2001,CROOMS ACADEMY OF INFORMATION TECHNOLOGY     (FORM,0,TRUE,open,other/alternative school,no,high,140,no,Missing/not reported,Missing/not reported,SANFORD
120171002533.00,2002,CROOMS ACADEMY OF INFORMATION TECHNOLOGY     (FORM,1,FALSE,open,regular school,no,high,267,no,Missing/not reported,2200 W. 13TH STREET,SANFORD
120171002533.00,2003,CROOMS ACADEMY/INFO TECHNOLOGY,1,FALSE,open,regular school,no,high,402,no,Missing/not reported,2200 W 13TH STREET,SANFORD
120156002883.00,2006,ESE COUNTYWIDE,0,FALSE,open,regular school,no,other,49,no,No,6698 68TH AVE N STE D,PINELLAS PARK
120156002883.00,2007,ESE COUNTYWIDE,0,FALSE,open,regular school,no,other,69,no,No,6698 68TH AVE N STE D,PINELLAS PARK
120156002883.00,2008,ESE COUNTYWIDE,0,FALSE,open,regular school,no,other,60,no,No,6698 68TH AVE NORTH STE D,PINELLAS PARK
120156002883.00,2009,ESE COUNTYWIDE,0,FALSE,open,regular school,no,other,132,no,No,6698 68TH AVE NORTH,PINELLAS PARK
120156002883.00,2010,ESE COUNTYWIDE,0,FALSE,open,regular school,no,other,158,no,No,6698 68TH AVE NORTH,PINELLAS PARK
120156002883.00,2011,ESE COUNTYWIDE,0,FALSE,open,regular school,no,other,84,no,No,6698 68TH AVE NORTH,PINELLAS PARK
120156002883.00,2012,ESE COUNTYWIDE,0,FALSE,open,regular school,no,other,81,no,No,6698 68TH AVE NORTH,PINELLAS PARK
120156002883.00,2013,ESE COUNTYWIDE,0,FALSE,open,regular school,no,other,64,no,No,6698 68TH AVE NORTH,PINELLAS PARK
120156002883.00,2014,ESE COUNTYWIDE,0,FALSE,open,regular school,no,other,112,no,No,6698 68TH AVE N STE D,PINELLAS PARK
120156002883.00,2015,ESE COUNTYWIDE,0,TRUE,open,special education school,no,other,56,no,No,6698 68TH AVE N STE D,PINELLAS PARK
120156002883.00,2016,ESE COUNTYWIDE,0,TRUE,open,special education school,no,other,3,no,No,6698 68TH AVE N STE D,PINELLAS PARK
120156002883.00,2017,ESE COUNTYWIDE,0,TRUE,open,special education school,no,other,192,no,No,6698 68TH AVE N STE D,PINELLAS PARK
120156002883.00,2018,ESE COUNTYWIDE,0,TRUE,open,special education school,no,other,202,no,No,6698 68TH AVE N STE D,PINELLAS PARK
120150003909.00,2002,EVERGLADES PREPARATORY ACADEMY,1,FALSE,new,regular school,yes,high,103,no,Missing/not reported,Missing/not reported,WEST PALM BEACH
120150003909.00,2003,EVERGLADES PREPARATORY ACADEMY,1,FALSE,open,regular school,yes,high,131,no,Missing/not reported,P. O. BOX 557,PAHOKEE
120150003909.00,2004,EVERGLADES PREPARATORY ACADEMY,1,FALSE,open,regular school,yes,high,163,no,Missing/not reported,P. O. BOX 557,PAHOKEE
120150003909.00,2005,EVERGLADES PREPARATORY ACADEMY,1,FALSE,open,regular school,yes,high,142,no,Missing/not reported,183 S LAKE AVE,PAHOKEE
120150003909.00,2006,EVERGLADES PREPARATORY ACADEMY,1,FALSE,open,regular school,yes,high,147,no,No,183 S LAKE AVE,PAHOKEE
120150003909.00,2007,EVERGLADES PREPARATORY ACADEMY,1,FALSE,open,regular school,yes,high,151,no,No,183 S LAKE AVE,PAHOKEE
120150003909.00,2008,EVERGLADES PREPARATORY ACADEMY,1,FALSE,open,regular school,yes,high,109,no,No,360 EAST MAIN ST,PAHOKEE
120150003909.00,2009,EVERGLADES PREPARATORY ACADEMY,1,FALSE,open,regular school,yes,high,92,no,No,183 SOUTH LAKE AVE,PAHOKEE
120150003909.00,2010,EVERGLADES PREPARATORY ACADEMY,1,FALSE,open,regular school,yes,high,101,no,No,183 SOUTH LAKE AVE,PAHOKEE
120150003909.00,2011,EVERGLADES PREPARATORY ACADEMY,1,FALSE,open,regular school,yes,high,111,no,No,360 EAST MAIN ST,PAHOKEE
120150003909.00,2012,EVERGLADES PREPARATORY ACADEMY,1,FALSE,open,regular school,yes,high,95,no,No,360 EAST MAIN ST,PAHOKEE
120150003909.00,2013,EVERGLADES PREPARATORY ACADEMY,1,FALSE,open,regular school,yes,high,90,no,No,360 EAST MAIN ST,PAHOKEE
120150003909.00,2014,EVERGLADES PREPARATORY ACADEMY,1,FALSE,open,regular school,yes,high,88,no,No,360 E MAIN ST,PAHOKEE
120150003909.00,2015,EVERGLADES PREPARATORY ACADEMY,1,TRUE,open,other/alternative school,yes,high,106,no,No,360 E MAIN ST,PAHOKEE
120150003909.00,2016,EVERGLADES PREPARATORY ACADEMY,1,TRUE,open,other/alternative school,yes,high,101,no,No,360 E MAIN ST,PAHOKEE
120150003909.00,2017,EVERGLADES PREPARATORY ACADEMY,1,TRUE,open,other/alternative school,yes,high,102,no,No,360 E MAIN ST,PAHOKEE
120150003909.00,2018,EVERGLADES PREPARATORY ACADEMY,1,TRUE,open,other/alternative school,yes,high,101,no,No,360 E MAIN ST,PAHOKEE
120174001919.00,2014,FIRST COAST TECHNICAL COLLEGE,0,FALSE,open,regular school,no,high,0,no,No,2980 COLLINS AVE,ST AUGUSTINE
120174001919.00,2015,FIRST COAST TECHNICAL COLLEGE,0,FALSE,open,regular school,no,high,0,no,No,2980 COLLINS AVE,ST AUGUSTINE
120174001919.00,2016,FIRST COAST TECHNICAL COLLEGE,0,TRUE,open,vocational school,no,high,0,no,No,2980 COLLINS AVE,ST AUGUSTINE
120174001919.00,2017,FIRST COAST TECHNICAL COLLEGE,0,TRUE,open,vocational school,no,high,19,no,No,2980 COLLINS AVE,ST AUGUSTINE
120174001919.00,2018,FIRST COAST TECHNICAL COLLEGE,0,TRUE,open,vocational school,no,high,0,no,No,2980 COLLINS AVE,ST AUGUSTINE
120174001919.00,2003,FIRST COAST TECHNICAL INSTI.,0,FALSE,inactive,regular school,yes,not applicable,0,no,Missing/not reported,2980 COLLINS AVENUE,ST. AUGUSTINE
120174001919.00,2004,FIRST COAST TECHNICAL INSTI.,0,FALSE,open,regular school,yes,high,0,no,Missing/not reported,2980 COLLINS AVENUE,ST. AUGUSTINE
120174001919.00,2005,FIRST COAST TECHNICAL INSTI.,0,FALSE,open,regular school,yes,high,0,no,Missing/not reported,2980 COLLINS AVE,ST AUGUSTINE
120174001919.00,2006,FIRST COAST TECHNICAL INSTI.,0,FALSE,open,regular school,yes,not applicable,0,no,No,2980 COLLINS AVE,ST AUGUSTINE
120174001919.00,2007,FIRST COAST TECHNICAL INSTITUTE,0,FALSE,open,regular school,yes,high,0,no,No,2980 COLLINS AVE,ST AUGUSTINE
120174001919.00,2008,FIRST COAST TECHNICAL INSTITUTE,0,FALSE,open,regular school,no,high,0,no,No,2980 COLLINS AVE,ST AUGUSTINE
120174001919.00,2009,FIRST COAST TECHNICAL INSTITUTE,0,FALSE,open,regular school,no,high,0,no,No,2980 COLLINS AVE,ST AUGUSTINE
120174001919.00,2010,FIRST COAST TECHNICAL INSTITUTE,0,FALSE,open,regular school,no,high,0,no,No,2980 COLLINS AVE,ST AUGUSTINE
120174001919.00,2011,FIRST COAST TECHNICAL INSTITUTE,0,FALSE,open,regular school,no,high,0,no,No,2980 COLLINS AVE,ST AUGUSTINE
120174001919.00,2012,FIRST COAST TECHNICAL INSTITUTE,0,FALSE,open,regular school,no,high,0,no,No,2980 COLLINS AVE,ST AUGUSTINE
120174001919.00,2013,FIRST COAST TECHNICAL INSTITUTE,0,FALSE,open,regular school,no,high,0,no,No,2980 COLLINS AVE,ST AUGUSTINE
120174001919.00,1999,FIRST COAST TECHNICAL INSTITUTE (FORMERLY ST. AUGU,0,FALSE,open,regular school,yes,,18,no,Missing/not reported,2980 COLLINS AVENUE,ST. AUGUSTINE
120174001919.00,2000,FIRST COAST TECHNICAL INSTITUTE (FORMERLY ST. AUGU,0,FALSE,open,regular school,yes,other,0,no,Missing/not reported,2980 COLLINS AVENUE,ST. AUGUSTINE
120174001919.00,2001,FIRST COAST TECHNICAL INSTITUTE (FORMERLY ST. AUGU,0,FALSE,open,regular school,yes,other,0,no,Missing/not reported,Missing/not reported,ST. AUGUSTINE
120174001919.00,2002,FIRST COAST TECHNICAL INSTITUTE (FORMERLY ST. AUGU,0,FALSE,open,regular school,yes,high,0,no,Missing/not reported,2980 COLLINS AVENUE,ST. AUGUSTINE
120156004434.00,2005,FL YOUTH ACADEMY - LOW RISK,0,TRUE,closed,other/alternative school,not applicable,not applicable,0,,Not applicable,301 4TH STREET SW,LARGO
120156004434.00,2003,FLORIDA YOUTH ACADEMY - LOW RISK,0,FALSE,open,regular school,no,other,18,,Missing/not reported,301 4TH STREET SW,LARGO
120156004434.00,2004,FLORIDA YOUTH ACADEMY - LOW RISK,0,FALSE,open,regular school,no,other,0,,Missing/not reported,301 4TH STREET SW,LARGO
120156004434.00,2000,FLORIDA YOUTH ACADEMY - LOW RISK       (FORMERLY S,0,FALSE,new,regular school,no,other,19,,Missing/not reported,12895 SEMINOLE BOULEVARD,LARGO
120156004434.00,2001,FLORIDA YOUTH ACADEMY - LOW RISK       (FORMERLY S,0,FALSE,open,regular school,no,other,18,,Missing/not reported,Missing/not reported,LARGO
120156004434.00,2002,FLORIDA YOUTH ACADEMY - LOW RISK       (FORMERLY S,0,FALSE,open,regular school,no,other,18,,Missing/not reported,301 4TH STREET SW,LARGO
120060000853.00,2004,GADSDEN ELEMENTARY MAGNET SCHOOL,1,FALSE,open,regular school,no,primary,121,no,Missing/not reported,500 W KING STREET,QUINCY
120060000853.00,2005,GADSDEN ELEMENTARY MAGNET SCHOOL,1,FALSE,open,regular school,no,primary,135,no,Missing/not reported,500 W KING ST,QUINCY
120060000853.00,2006,GADSDEN ELEMENTARY MAGNET SCHOOL,1,FALSE,open,regular school,no,primary,149,no,Yes,500 W KING ST,QUINCY
120060000853.00,2007,GADSDEN ELEMENTARY MAGNET SCHOOL,1,FALSE,open,regular school,no,primary,126,no,Yes,500 W KING ST,QUINCY
120060000853.00,2008,GADSDEN ELEMENTARY MAGNET SCHOOL,1,FALSE,open,regular school,no,primary,144,no,Yes,500 WEST KING ST,QUINCY
120060000853.00,2009,GADSDEN ELEMENTARY MAGNET SCHOOL,1,FALSE,open,regular school,no,primary,142,no,Yes,500 WEST KING ST,QUINCY
120060000853.00,2010,GADSDEN ELEMENTARY MAGNET SCHOOL,1,FALSE,open,regular school,no,primary,145,no,Yes,500 WEST KING ST,QUINCY
120060000853.00,2011,GADSDEN ELEMENTARY MAGNET SCHOOL,1,FALSE,open,regular school,no,primary,185,no,Yes,500 WEST KING ST,QUINCY
120060000853.00,2012,GADSDEN ELEMENTARY MAGNET SCHOOL,1,FALSE,open,regular school,no,primary,190,no,Yes,500 WEST KING ST,QUINCY
120060000853.00,2013,GADSDEN ELEMENTARY MAGNET SCHOOL,1,FALSE,open,regular school,no,primary,198,no,Yes,500 WEST KING ST,QUINCY
120060000853.00,2014,GADSDEN ELEMENTARY MAGNET SCHOOL,1,FALSE,open,regular school,no,primary,189,no,Yes,500 W KING ST,QUINCY
120060000853.00,2015,GADSDEN ELEMENTARY MAGNET SCHOOL,1,FALSE,open,regular school,no,primary,149,no,Yes,500 W KING ST,QUINCY
120060000853.00,2016,GADSDEN ELEMENTARY MAGNET SCHOOL,1,FALSE,open,regular school,no,primary,156,no,Yes,500 W KING ST,QUINCY
120060000853.00,2017,GADSDEN ELEMENTARY MAGNET SCHOOL,1,FALSE,open,regular school,no,primary,161,no,Yes,500 W KING ST,QUINCY
120060000853.00,2018,GADSDEN ELEMENTARY MAGNET SCHOOL,1,FALSE,open,regular school,no,primary,163,no,Yes,500 W KING ST,QUINCY
120060000853.00,2003,GADSEN ELEMEN MAGNET SCHOOL,1,FALSE,open,regular school,no,primary,101,no,Missing/not reported,500 W KING STREET,QUINCY
120009004306.00,2000,HANEY TECHNICAL HIGH SCHOOL,1,FALSE,new,regular school,no,high,52,,Missing/not reported,3016 HIGHWAY 77,PANAMA CITY
120009004306.00,2001,HANEY TECHNICAL HIGH SCHOOL,1,FALSE,open,regular school,no,high,79,,Missing/not reported,Missing/not reported,PANAMA CITY
120009004306.00,2002,HANEY TECHNICAL HIGH SCHOOL,1,FALSE,open,regular school,no,high,123,,Missing/not reported,3016 HIGHWAY 77,PANAMA CITY
120009004306.00,2003,HANEY TECHNICAL HIGH SCHOOL,1,FALSE,open,regular school,no,high,187,,Missing/not reported,3016 HIGHWAY 77,PANAMA CITY
120009004306.00,2004,HANEY TECHNICAL HIGH SCHOOL,1,FALSE,open,regular school,no,other,246,,Missing/not reported,3016 HIGHWAY 77,PANAMA CITY
120009004306.00,2005,HANEY TECHNICAL HIGH SCHOOL,1,FALSE,open,regular school,no,high,279,,Missing/not reported,3016 HWY 77,PANAMA CITY
120009004306.00,2006,HANEY TECHNICAL HIGH SCHOOL,1,FALSE,open,regular school,no,other,190,,No,3016 HWY 77,PANAMA CITY
120009004306.00,2007,HANEY TECHNICAL HIGH SCHOOL,1,FALSE,open,regular school,no,high,155,,No,3016 HWY 77,PANAMA CITY
120009004306.00,2008,HANEY TECHNICAL HIGH SCHOOL,1,TRUE,open,other/alternative school,no,high,172,,No,3016 HWY 77,PANAMA CITY
120009004306.00,2009,HANEY TECHNICAL HIGH SCHOOL,0,TRUE,closed,other/alternative school,no,not applicable,,,No,3016 HWY 77,PANAMA CITY
120156002883.00,1999,HEADSTART,0,FALSE,open,regular school,no,,47,no,Missing/not reported,"6698 68TH AVENUE, NORTH",PINELLAS PARK
120156002883.00,2000,HEADSTART,0,FALSE,open,regular school,no,other,58,no,Missing/not reported,"6698 68TH AVENUE, NORTH",PINELLAS PARK
120156002883.00,2001,HEADSTART,0,FALSE,open,regular school,no,other,154,no,Missing/not reported,Missing/not reported,PINELLAS PARK
120156002883.00,2002,HEADSTART,0,FALSE,open,regular school,no,primary,180,no,Missing/not reported,"6698 68TH AVENUE, NORTH",PINELLAS PARK
120156002883.00,2003,HEADSTART,0,FALSE,open,regular school,no,primary,167,no,Missing/not reported,"6698 68TH AVENUE, N",PINELLAS PARK
120156002883.00,2004,HEADSTART,0,FALSE,open,regular school,no,other,138,no,Missing/not reported,"6698 68TH AVENUE, N",PINELLAS PARK
120156002883.00,2005,HEADSTART,0,FALSE,open,regular school,no,primary,112,no,Missing/not reported,6698 68TH AVE N STE D,PINELLAS PARK
120024003032.00,1999,KELLY HALL,0,FALSE,open,regular school,no,,27,,Missing/not reported,2208 CASTILLA AVENUE,PUNTA GORDA
120024003032.00,2000,KELLY HALL,0,FALSE,open,regular school,no,high,27,,Missing/not reported,2208 CASTILLA AVENUE,PUNTA GORDA
120024003032.00,2001,KELLY HALL,0,FALSE,open,regular school,no,high,28,,Missing/not reported,Missing/not reported,PUNTA GORDA
120024003032.00,2002,KELLY HALL,0,FALSE,open,regular school,no,high,35,,Missing/not reported,2208 CASTILLA AVENUE,PUNTA GORDA
120024003032.00,2003,KELLY HALL,0,FALSE,open,regular school,no,high,41,,Missing/not reported,2208 CASTILLA AVENUE,PUNTA GORDA
120024003032.00,2004,KELLY HALL,0,FALSE,open,regular school,no,high,0,,Missing/not reported,2208 CASTILLA AVENUE,PUNTA GORDA
120024003032.00,2005,KELLY HALL,0,TRUE,closed,other/alternative school,not applicable,not applicable,0,,Not applicable,2208 CASTILLA AVE,PUNTA GORDA
120144004007.00,2009,LAKESIDE CRISIS,0,TRUE,closed,other/alternative school,no,not applicable,,,No,1718 EAST MICHIGAN AVE,ORLANDO
120087004096.00,2003,MACFARLANE PARK ALTERNATIVE,0,TRUE,new,other/alternative school,no,other,170,no,Missing/not reported,1721 N MACDILL AVENUE,TAMPA
120087004096.00,2005,MACFARLANE PARK ELEMENTARY MAGNET SCHOOL,1,FALSE,open,regular school,no,primary,330,no,Yes,1721 N MACDILL AVE,TAMPA
120087004096.00,2006,MACFARLANE PARK ELEMENTARY MAGNET SCHOOL,1,FALSE,open,regular school,no,primary,395,no,Yes,1721 N MACDILL AVE,TAMPA
